name,full_name,URL,desc.,total_commits,last_commit,commits_2024,stars,fork,forks,lang,size,score,template,archived,disabled,contributors_url,collaborators_url,collaborators,search_term
pager-backend,HeroTools/pager-backend,https://github.com/HeroTools/pager-backend,"Backend services for an AI-powered, privacy-first team collaboration platform. Manages secure data, AI processing, and real-time communication to give you full control over your competitive edge.",296,2025-10-16T22:23:04Z,0,16,False,4,TypeScript,1062,1.0,False,False,False,https://api.github.com/repos/HeroTools/pager-backend/contributors,https://api.github.com/repos/HeroTools/pager-backend/collaborators{/collaborator},2,edge ai
AI-Driven-DR-Detection-System,picoders1/AI-Driven-DR-Detection-System,https://github.com/picoders1/AI-Driven-DR-Detection-System,"AI-driven Detection & Classification of Diabetic Retinopathy"" is a cutting-edge approach that combines artificial intelligence (AI) with medical image analysis to identify and categorize a specific eye disease called Diabetic Retinopathy (DR).",29,2025-06-03T10:15:12Z,0,16,False,3,Jupyter Notebook,33960,1.0,False,False,False,https://api.github.com/repos/picoders1/AI-Driven-DR-Detection-System/contributors,https://api.github.com/repos/picoders1/AI-Driven-DR-Detection-System/collaborators{/collaborator},1,edge ai
mcp-prompt-optimizer,Bubobot-Team/mcp-prompt-optimizer,https://github.com/Bubobot-Team/mcp-prompt-optimizer,Advanced MCP server providing cutting-edge prompt optimization tools with research-backed strategies,7,2025-06-23T08:35:34Z,0,16,False,2,Python,287,1.0,False,False,False,https://api.github.com/repos/Bubobot-Team/mcp-prompt-optimizer/contributors,https://api.github.com/repos/Bubobot-Team/mcp-prompt-optimizer/collaborators{/collaborator},1,edge ai
ai-hardware-engineer-path,ai-hpc/ai-hardware-engineer-path,https://github.com/ai-hpc/ai-hardware-engineer-path," a self-study guide for AI hardware engineers, covering a wide range of topics from foundational knowledge to advanced FPGA and acceleration techniques, Nvidia Jetson and edge AI, and more.",39,2024-11-29T17:50:27Z,39,16,False,2,,200,1.0,False,False,False,https://api.github.com/repos/ai-hpc/ai-hardware-engineer-path/contributors,https://api.github.com/repos/ai-hpc/ai-hardware-engineer-path/collaborators{/collaborator},1,edge ai
onerun,onerun-ai/onerun,https://github.com/onerun-ai/onerun,"Open-source framework for stress-testing LLMs and conversational AI. Identify hallucinations, policy violations, and edge cases with scalable, realistic simulations. Join the discord: https://discord.gg/ssd4S37WNW",1,2025-09-15T12:18:04Z,0,16,False,0,Python,316,1.0,False,False,False,https://api.github.com/repos/onerun-ai/onerun/contributors,https://api.github.com/repos/onerun-ai/onerun/collaborators{/collaborator},1,edge ai
ai-without-limits-software,Fractal5Fanatic/ai-without-limits-software,https://github.com/Fractal5Fanatic/ai-without-limits-software,"Hey there, tech enthusiasts! Are you ready to dive into the world of cutting-edge AI models without spending a dime? Today, were thrilled to introduce an incredible tool thats changing the game.",2,2025-05-11T11:51:23Z,0,16,False,0,JavaScript,9,1.0,False,False,False,https://api.github.com/repos/Fractal5Fanatic/ai-without-limits-software/contributors,https://api.github.com/repos/Fractal5Fanatic/ai-without-limits-software/collaborators{/collaborator},1,edge ai
ai-without-limits-software,Quantum4Quest/ai-without-limits-software,https://github.com/Quantum4Quest/ai-without-limits-software,"Hey there, tech enthusiasts! Are you ready to dive into the world of cutting-edge AI models without spending a dime? Today, were thrilled to introduce an incredible tool thats revolutionizing access to premium AI solutions.",2,2025-05-11T11:51:22Z,0,16,False,0,JavaScript,8,1.0,False,False,False,https://api.github.com/repos/Quantum4Quest/ai-without-limits-software/contributors,https://api.github.com/repos/Quantum4Quest/ai-without-limits-software/collaborators{/collaborator},1,edge ai
ai-without-limits-software,Aurora8Glow/ai-without-limits-software,https://github.com/Aurora8Glow/ai-without-limits-software,"Hey there, tech enthusiasts! Are you ready to dive into the world of cutting-edge AI without spending a dime? Today, were thrilled to introduce an incredible tool that will revolutionize how you access premium AI models.",2,2025-05-11T11:51:40Z,0,16,False,0,JavaScript,8,1.0,False,False,False,https://api.github.com/repos/Aurora8Glow/ai-without-limits-software/contributors,https://api.github.com/repos/Aurora8Glow/ai-without-limits-software/collaborators{/collaborator},1,edge ai
ai-without-limits-software,Forest2Canopy/ai-without-limits-software,https://github.com/Forest2Canopy/ai-without-limits-software,"Hey there, tech enthusiasts! Are you ready to dive into the world of cutting-edge AI tools without breaking the bank? Today, were thrilled to introduce an incredible solution that brings premium AI models right to your fingertips.",2,2025-05-11T11:51:42Z,0,16,False,0,Python,4,1.0,False,False,False,https://api.github.com/repos/Forest2Canopy/ai-without-limits-software/contributors,https://api.github.com/repos/Forest2Canopy/ai-without-limits-software/collaborators{/collaborator},1,edge ai
ai-without-limits-software,Wind4Whirl/ai-without-limits-software,https://github.com/Wind4Whirl/ai-without-limits-software,"Hey there, tech enthusiasts! Are you ready to dive into the world of cutting-edge AI without breaking the bank? Today, were thrilled to introduce a game-changing solution that brings drawing ai Free Unlimited and chai chat with ai friends Free Unlimite",2,2025-05-11T11:51:42Z,0,16,False,0,JavaScript,8,1.0,False,False,False,https://api.github.com/repos/Wind4Whirl/ai-without-limits-software/contributors,https://api.github.com/repos/Wind4Whirl/ai-without-limits-software/collaborators{/collaborator},1,edge ai
Qubot-One,KOSASIH/Qubot-One,https://github.com/KOSASIH/Qubot-One,"A cutting-edge project focused on developing quantum-powered robotics (Qubots) that leverage advanced AI and quantum computing for enhanced adaptability, efficiency, and human collaboration.",192,2024-12-13T16:26:07Z,192,16,False,0,Python,1782,1.0,False,False,False,https://api.github.com/repos/KOSASIH/Qubot-One/contributors,https://api.github.com/repos/KOSASIH/Qubot-One/collaborators{/collaborator},1,edge ai
realtime-object-detection,mohitj2401/realtime-object-detection,https://github.com/mohitj2401/realtime-object-detection,"Welcome to our cutting-edge Real-Time Object Detection app, built using Flutter and TensorFlow Lite (TFLite). This application is designed to provide an intuitive and efficient way to detect objects in real-time using your device's camera. Whether you are a developer, a tech enthusiast, or simply curious about AI-powered applications, our app offer",14,2025-07-05T12:47:06Z,5,16,False,5,HTML,15352,1.0,False,False,False,https://api.github.com/repos/mohitj2401/realtime-object-detection/contributors,https://api.github.com/repos/mohitj2401/realtime-object-detection/collaborators{/collaborator},1,edge ai
trading-bot-github,Shadow6Veil/trading-bot-github,https://github.com/Shadow6Veil/trading-bot-github,"Hey there, crypto enthusiasts! Looking for a powerful tool to supercharge your trading game? You've landed in the right place! Lets dive into an in-depth overview of this cutting-edge software thats revolutionizing cryptocurrency trading with AI-drive",2,2025-05-11T10:09:00Z,0,16,False,0,Python,4,1.0,False,False,False,https://api.github.com/repos/Shadow6Veil/trading-bot-github/contributors,https://api.github.com/repos/Shadow6Veil/trading-bot-github/collaborators{/collaborator},1,edge ai
crypto-trading-bot,Function7Flow/crypto-trading-bot,https://github.com/Function7Flow/crypto-trading-bot,"Hey there, crypto enthusiasts! Looking for a powerful tool to supercharge your trading game? You're in the right place! Let's dive into an exciting overview of our cutting-edge software that blends AI, advanced strategies, and risk management to optimiz",3,2025-05-24T15:28:36Z,0,16,False,1,Python,11,1.0,False,False,False,https://api.github.com/repos/Function7Flow/crypto-trading-bot/contributors,https://api.github.com/repos/Function7Flow/crypto-trading-bot/collaborators{/collaborator},1,edge ai
edge,antarys-ai/edge,https://github.com/antarys-ai/edge,"A hackable vector db built on top of uSearch+rocksdb, for you to break it down, dissect and scale on demand",15,2025-10-23T05:13:05Z,0,15,False,0,C++,296,1.0,False,False,False,https://api.github.com/repos/antarys-ai/edge/contributors,https://api.github.com/repos/antarys-ai/edge/collaborators{/collaborator},1,edge ai
Signformer,EtaEnding/Signformer,https://github.com/EtaEnding/Signformer,Signformer is all you need: Towards Edge AI for Sign Language,16,2024-12-03T20:35:45Z,16,15,False,3,Python,2908,1.0,False,False,False,https://api.github.com/repos/EtaEnding/Signformer/contributors,https://api.github.com/repos/EtaEnding/Signformer/collaborators{/collaborator},1,edge ai
svelte-vrm-live,dexvdev/svelte-vrm-live,https://github.com/dexvdev/svelte-vrm-live,"Threlte Live – A SvelteKit + Three.js platform for live-streaming 3D VRM avatars. Features real-time chat with Google Generative AI, ElevenLabs TTS lip-sync, Mixamo animations, and Cloudflare edge deployment – perfect for creating interactive, high-performance streaming overlays.",9,2025-08-18T11:42:55Z,0,15,False,4,TypeScript,61853,1.0,False,False,False,https://api.github.com/repos/dexvdev/svelte-vrm-live/contributors,https://api.github.com/repos/dexvdev/svelte-vrm-live/collaborators{/collaborator},2,edge ai
OmegaViT,Agora-Lab-AI/OmegaViT,https://github.com/Agora-Lab-AI/OmegaViT,"OmegaViT (ΩViT) is a cutting-edge vision transformer architecture that combines multi-query attention, rotary embeddings, state space modeling, and mixture of experts to achieve superior performance across various computer vision tasks. ",4,2025-11-14T13:04:28Z,4,15,False,0,Python,2278,1.0,False,False,False,https://api.github.com/repos/Agora-Lab-AI/OmegaViT/contributors,https://api.github.com/repos/Agora-Lab-AI/OmegaViT/collaborators{/collaborator},1,edge ai
DiffuGen,CLOUDWERX-DEV/DiffuGen,https://github.com/CLOUDWERX-DEV/DiffuGen,"DiffuGen is a powerful yet user-friendly interface for local\edge image generation. Built on the Model Control Protocol (MCP), it provides a seamless way to interact with various Stable Diffusion models including Flux, SDXL, SD3, and SD1.5. Diffugen also features an OpenAPI Server for API usage and designed to support OpenWebUI OpenAPI Tool use.",70,2025-04-07T06:56:23Z,0,15,False,8,Shell,72818,1.0,False,False,False,https://api.github.com/repos/CLOUDWERX-DEV/DiffuGen/contributors,https://api.github.com/repos/CLOUDWERX-DEV/DiffuGen/collaborators{/collaborator},1,edge ai
Delta,k3rnel-paN1c5/Delta,https://github.com/k3rnel-paN1c5/Delta,A Lightweight Deep Learning Model for Depth Estimation. Aimed to run on edge devices and provide near-real-time results. This project uses knowledge distillation technology to transfer knowledge from DepthAnythingV2 to a smaller model,101,2025-09-16T20:44:26Z,0,15,False,0,Jupyter Notebook,247018,1.0,False,False,False,https://api.github.com/repos/k3rnel-paN1c5/Delta/contributors,https://api.github.com/repos/k3rnel-paN1c5/Delta/collaborators{/collaborator},1,edge ai
edgex,ayush585/edgex,https://github.com/ayush585/edgex,"Edgex is a Gen Z-powered AI mentorship movement — not just code. We help students navigate emotional chaos and career confusion with smart, empathetic AI. Built with passion, heart, and vision. 💬🎯 Join the mission. Be the reason someone finds clarity.",63,2025-10-31T07:49:13Z,0,14,False,37,JavaScript,236101,1.0,False,False,False,https://api.github.com/repos/ayush585/edgex/contributors,https://api.github.com/repos/ayush585/edgex/collaborators{/collaborator},28,edge ai
cloud-edge-aicontainers,etri-edgeai/cloud-edge-aicontainers,https://github.com/etri-edgeai/cloud-edge-aicontainers,,1321,2025-05-21T01:18:01Z,249,14,False,8,Python,483498,1.0,False,False,False,https://api.github.com/repos/etri-edgeai/cloud-edge-aicontainers/contributors,https://api.github.com/repos/etri-edgeai/cloud-edge-aicontainers/collaborators{/collaborator},6,edge ai
ai-garage,tezansahu/ai-garage,https://github.com/tezansahu/ai-garage,Mini-Projects using Cutting-Edge AI Frameworks,38,2025-10-26T11:53:54Z,5,14,False,6,Python,70369,1.0,False,False,False,https://api.github.com/repos/tezansahu/ai-garage/contributors,https://api.github.com/repos/tezansahu/ai-garage/collaborators{/collaborator},1,edge ai
fluentify,itsyebekhe/fluentify,https://github.com/itsyebekhe/fluentify,"a powerful, all-in-one translation tool that leverages the cutting-edge capabilities of the Google Gemini AI",21,2025-10-03T21:23:01Z,0,14,False,6,HTML,614,1.0,False,False,False,https://api.github.com/repos/itsyebekhe/fluentify/contributors,https://api.github.com/repos/itsyebekhe/fluentify/collaborators{/collaborator},1,edge ai
meta-adlink-nxp,ADLINK/meta-adlink-nxp,https://github.com/ADLINK/meta-adlink-nxp,Single Yocto layer support for all the NXP i.MX based products.,85,2025-11-11T10:43:06Z,7,14,False,24,,53647,1.0,False,False,False,https://api.github.com/repos/ADLINK/meta-adlink-nxp/contributors,https://api.github.com/repos/ADLINK/meta-adlink-nxp/collaborators{/collaborator},5,edge ai
pynas,ESA-PhiLab/pynas,https://github.com/ESA-PhiLab/pynas,Evolutionary framework for edge AI deployment on satellites,30,2025-06-21T14:02:29Z,0,14,False,0,Python,51956,1.0,False,False,False,https://api.github.com/repos/ESA-PhiLab/pynas/contributors,https://api.github.com/repos/ESA-PhiLab/pynas/collaborators{/collaborator},1,edge ai
AI-Vision-Hub,DanyaYoung/AI-Vision-Hub,https://github.com/DanyaYoung/AI-Vision-Hub,"An innovation center focused on artificial intelligence research, machine learning solutions, and cutting-edge automation technologies.",0,2025-02-04T08:33:43Z,0,14,False,0,,0,1.0,False,False,False,https://api.github.com/repos/DanyaYoung/AI-Vision-Hub/contributors,https://api.github.com/repos/DanyaYoung/AI-Vision-Hub/collaborators{/collaborator},0,edge ai
Ecommece-AI-agent,zer0-A1/Ecommece-AI-agent,https://github.com/zer0-A1/Ecommece-AI-agent,"Welcome to E-Commerce System – a cutting-edge, full-featured online shopping solution built for seamless user experiences, efficient management, and powerful AI capabilities. This project integrates modern technologies and tools like MongoDB, Redis, Stripe, and OpenAI to offer an optimized, high-performance e-commerce platform. ",11,2025-06-20T06:41:54Z,0,14,False,0,JavaScript,21500,1.0,False,False,False,https://api.github.com/repos/zer0-A1/Ecommece-AI-agent/contributors,https://api.github.com/repos/zer0-A1/Ecommece-AI-agent/collaborators{/collaborator},1,edge ai
Jetson-Symbolics-Neuromorphics,rtrelease/Jetson-Symbolics-Neuromorphics,https://github.com/rtrelease/Jetson-Symbolics-Neuromorphics,"Integrating Symbolic Programming and Neuromorphic Modeling for Edge Labs with NVIDIA Jetson, DGX Spark, and GPU-based DNN/ML Systems",2295,2025-10-26T23:20:44Z,339,14,False,1,,37558,1.0,False,False,False,https://api.github.com/repos/rtrelease/Jetson-Symbolics-Neuromorphics/contributors,https://api.github.com/repos/rtrelease/Jetson-Symbolics-Neuromorphics/collaborators{/collaborator},1,edge ai
Quantized_Neural_Network_on_RISC-V,ShekharShwetank/Quantized_Neural_Network_on_RISC-V,https://github.com/ShekharShwetank/Quantized_Neural_Network_on_RISC-V,Learning Path: RISC-V & Advanced Edge AI on SiFive FE310-G002 SoC | 32-bit RISC-V | 320 MHz | 16KB L1 Instruction Cache | 128Mbit (16MB) QSPI Flash | 4-stage pipeline,87,2025-09-18T16:55:16Z,0,14,False,1,C++,85456,1.0,False,False,False,https://api.github.com/repos/ShekharShwetank/Quantized_Neural_Network_on_RISC-V/contributors,https://api.github.com/repos/ShekharShwetank/Quantized_Neural_Network_on_RISC-V/collaborators{/collaborator},1,edge ai
deep-seek-vscode-extension,williamhnyohei/deep-seek-vscode-extension,https://github.com/williamhnyohei/deep-seek-vscode-extension,"A custom Visual Studio Code extension that integrates with Deep Seek, a cutting-edge AI chat from China. This project showcases how to build and deploy a VS Code extension with real-time interaction using WebView and TypeScript.",3,2025-01-30T23:32:39Z,0,14,False,1,TypeScript,38,1.0,False,False,False,https://api.github.com/repos/williamhnyohei/deep-seek-vscode-extension/contributors,https://api.github.com/repos/williamhnyohei/deep-seek-vscode-extension/collaborators{/collaborator},1,edge ai
ai,amrinderarora/ai,https://github.com/amrinderarora/ai,"Classical AI algorithms.  Cutting edge, since 1960s.  Amrinder Arora",64,2025-10-18T21:13:26Z,7,13,False,29,Java,65625,1.0,False,False,False,https://api.github.com/repos/amrinderarora/ai/contributors,https://api.github.com/repos/amrinderarora/ai/collaborators{/collaborator},3,edge ai
nn-comp,etri-edgeai/nn-comp,https://github.com/etri-edgeai/nn-comp,Neural Network Compression for Edge AI,338,2024-12-19T13:18:59Z,1,13,False,7,Python,554,1.0,False,False,False,https://api.github.com/repos/etri-edgeai/nn-comp/contributors,https://api.github.com/repos/etri-edgeai/nn-comp/collaborators{/collaborator},4,edge ai
new-website,DEVRhylme-Foundation/new-website,https://github.com/DEVRhylme-Foundation/new-website,"Welcome to the official DevRhylme Foundation Website repository! This project powers our mission of making cutting-edge AI, Web3, and computer vision technologies accessible to everyone.",124,2025-06-08T13:31:10Z,68,13,False,65,TypeScript,22028,1.0,False,False,False,https://api.github.com/repos/DEVRhylme-Foundation/new-website/contributors,https://api.github.com/repos/DEVRhylme-Foundation/new-website/collaborators{/collaborator},19,edge ai
go-fetch,johnymontana/go-fetch,https://github.com/johnymontana/go-fetch,go-fetch: Graph Oriented Fast Edge Traversal Cache Hub (Graph AI Agent Memory for Dgraph and Neo4j),42,2025-11-05T17:02:58Z,0,13,False,3,TypeScript,6730,1.0,False,False,False,https://api.github.com/repos/johnymontana/go-fetch/contributors,https://api.github.com/repos/johnymontana/go-fetch/collaborators{/collaborator},1,edge ai
ArogyaKrishi,Blacksujit/ArogyaKrishi,https://github.com/Blacksujit/ArogyaKrishi,"ArogyaKrishi MVP is an innovative web application crafted to empower farmers with cutting-edge tools for crop disease detection, soil type prediction, and tailored fertilizer recommendations. By harnessing the latest technology, it delivers actionable insights that revolutionize agricultural practices, promoting healthier crops and sustainablity.",61,2025-08-26T21:09:39Z,46,13,False,5,Jupyter Notebook,24662,1.0,False,False,False,https://api.github.com/repos/Blacksujit/ArogyaKrishi/contributors,https://api.github.com/repos/Blacksujit/ArogyaKrishi/collaborators{/collaborator},1,edge ai
Tumor-Detection-Model-Using-YOLOV11-And-SAM2,mirzayasirabdullahbaig07/Tumor-Detection-Model-Using-YOLOV11-And-SAM2,https://github.com/mirzayasirabdullahbaig07/Tumor-Detection-Model-Using-YOLOV11-And-SAM2,A cutting-edge deep learning project that combines YOLOv11 (for real-time object detection) with SAM2 (Segment Anything Model) to accurately detect and segment tumors in medical images. Designed for high precision in healthcare diagnostics and research applications.,4,2025-05-27T07:36:25Z,0,13,False,0,Python,70522,1.0,False,False,False,https://api.github.com/repos/mirzayasirabdullahbaig07/Tumor-Detection-Model-Using-YOLOV11-And-SAM2/contributors,https://api.github.com/repos/mirzayasirabdullahbaig07/Tumor-Detection-Model-Using-YOLOV11-And-SAM2/collaborators{/collaborator},1,edge ai
AI,vishalmysore/AI,https://github.com/vishalmysore/AI,"Explore the forefront of AI innovation with this dedicated repository, housing cutting-edge examples and implementations. Dive into the latest advancements, stay ahead with groundbreaking applications, and harness the power of state-of-the-art models and techniques. Elevate your understanding of artificial intelligence through hands-on work",91,2025-01-28T22:35:37Z,59,12,False,4,Java,5654,1.0,False,False,False,https://api.github.com/repos/vishalmysore/AI/contributors,https://api.github.com/repos/vishalmysore/AI/collaborators{/collaborator},1,edge ai
edgeai-app-stack,TexasInstruments/edgeai-app-stack,https://github.com/TexasInstruments/edgeai-app-stack,Repo which installs other Edge AI repos to build on PC and install on a target file system,37,2025-08-07T11:25:20Z,11,12,False,4,Makefile,137,1.0,False,False,False,https://api.github.com/repos/TexasInstruments/edgeai-app-stack/contributors,https://api.github.com/repos/TexasInstruments/edgeai-app-stack/collaborators{/collaborator},5,edge ai
Mastery-AI-Apps-Dev,paulasilvatech/Mastery-AI-Apps-Dev,https://github.com/paulasilvatech/Mastery-AI-Apps-Dev,Mastery AI Apps Dev Workshop: Jumpstart your journey into AI-powered app development! This hands-on workshop guides you through building real-world applications using cutting-edge AI tools and cloud technologies. Perfect for beginners and enthusiasts eager to turn ideas into powerful solutions. Join us and master the future of app development!,364,2025-07-24T19:17:14Z,0,12,False,18,Python,6237,1.0,False,False,False,https://api.github.com/repos/paulasilvatech/Mastery-AI-Apps-Dev/contributors,https://api.github.com/repos/paulasilvatech/Mastery-AI-Apps-Dev/collaborators{/collaborator},2,edge ai
starter-nextjs-convex-ai,appydave-templates/starter-nextjs-convex-ai,https://github.com/appydave-templates/starter-nextjs-convex-ai,Direct AI agents to build production apps at unprecedented speed with this edge-first Next.js + Convex + Cloudflare starter template designed for agentic development workflows.,270,2025-08-10T07:51:06Z,0,12,False,7,TypeScript,5993,1.0,False,False,False,https://api.github.com/repos/appydave-templates/starter-nextjs-convex-ai/contributors,https://api.github.com/repos/appydave-templates/starter-nextjs-convex-ai/collaborators{/collaborator},2,edge ai
ai-sdk-tutorials,industrial-edge/ai-sdk-tutorials,https://github.com/industrial-edge/ai-sdk-tutorials,"AI SDK Tutorials helps you to get familiar with AI Software Development Kit (AI SDK) through a set of end-to-end tutorials, how-to jupyter notebooks, and how-to guides.",49,2025-10-29T13:04:33Z,21,12,False,3,Jupyter Notebook,272760,1.0,False,False,False,https://api.github.com/repos/industrial-edge/ai-sdk-tutorials/contributors,https://api.github.com/repos/industrial-edge/ai-sdk-tutorials/collaborators{/collaborator},5,edge ai
AI-Study-Material-Generator,Adiaparmar/AI-Study-Material-Generator,https://github.com/Adiaparmar/AI-Study-Material-Generator,"AI Study Material Generator, a cutting-edge SaaS application designed to revolutionize learning by generating personalized study materials using advanced AI technology",51,2025-10-25T14:53:07Z,47,12,False,6,JavaScript,903,1.0,False,False,False,https://api.github.com/repos/Adiaparmar/AI-Study-Material-Generator/contributors,https://api.github.com/repos/Adiaparmar/AI-Study-Material-Generator/collaborators{/collaborator},1,edge ai
